Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C4, C49, C50, C51, C52",0805,7,10u,C440198
"C10, C5, C6, C7, C8, C9",0805,6,22u,C45783
"C11, C13, C16, C17, C18, C19, C22, C47",0402,8,0u1,C307331
"C14, C15",0603,2,20p,C1648
"C2, C20, C21, C3, C53",0402,5,1u,C52923
C35,0402,1,4u7,C23733
C36,0402,1,22n,C1532
"D1, D2",D_SMA,2,SMAJ12A,C19077531
D10,0805,1,YELLOW,C2296
"D12, D14, D16, D18, D5, D6, D7, D8, D9",Diode_DFN1006,9,H5VU10U,C22395519
"D3, D4",0805,2,GREEN,C2297
FB1,0805,1,600Ω@100M,C81034
J7,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"R1, R10, R11, R41, R9",0402,5,10k,C25744
R12,0603,1,560,C23204
"R13, R4, R5, R6, R8",0402,5,5k1,C25905
R14,0402,1,100,C705627
R15,1206,1,120,C17909
"R2, R3, R36, R7",0402,4,1k,C11702
"SW1, SW3, SW5",SW_SPST_TS-1088-xR020,3,SW_Push,C720477
U1,SOT-89-3,1,HT753-1,C14289
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,ULN2003A,C7512
"U3, U4",Texas_RPW0010A_VQFN-HR-10_2x2mm_P0.5mm,2,LM73100,C3210761
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,MAX6675,C16030
U6,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,C8734
U7,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,C12084
U8,VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,1,TMC2209-LA,C2150710
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8M,C115962
